name,start_id
Anas platyrhynchos, 6930
Ardea herodias, 4956
Bombycilla cedrorum, 7428
Branta canadensis, 7089
Bubo virginianus,20044

Buteo jamaicensis, 5212
Calidris alba,3849
Cardinalis cardinalis,9083
Cathartes aura, 4756
Coragyps atratus,4765

Corvus cornix,144757
Dryocopus pileatus,17855
Falco sparverius,4665
Icterus galbula, 9346
Parus major,203153

Passer domesticus,13858
Quiscalus mexicanus,9607
Sialia sialis,12942
Sturnus vulgaris, 14850
Turdus migratorius, 12727

Turdus merula,12716
Zenaida macroura,3454